composition,mode,r_mid_A,CN_sum_r__mean,CN_sum_r__std,CN_sum_r__count,CN_sum_r__sem,P_sum_r__mean,P_sum_r__std,P_sum_r__count,P_sum_r__sem,g_r_RDF_like__mean,g_r_RDF_like__std,g_r_RDF_like__count,g_r_RDF_like__sem
Ti20Nb,Omega_center__Twin_target,0.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Omega_center__Twin_target,0.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Omega_center__Twin_target,1.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Omega_center__Twin_target,1.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Omega_center__Twin_target,2.25,0.010692604240952282,0.0004891139155387248,6,0.0001996799198607707,0.0,0.0,6,0.0,0.042215997535732706,0.002358255790900513,6,0.0009627538951116398
Ti20Nb,Omega_center__Twin_target,2.75,3.1170592004148383,0.03682507772436711,6,0.015033775027171759,0.4888887532626107,0.004774258812918587,6,0.001949082998606045,8.220000286375708,0.2385616495448109,6,0.09739238559690827
Ti20Nb,Omega_center__Twin_target,3.25,4.7658440535419535,0.04993115721975437,6,0.020384309575847095,0.8000258197782584,0.0029029061811281253,6,0.0011851064858225385,3.126064824685477,0.08377643633726793,6,0.03420158691584429
Ti20Nb,Omega_center__Twin_target,3.75,5.672746021935999,0.07111520277373082,6,0.02903265995836658,0.8077151954897981,0.0028249582922423174,6,0.00115328439343964,1.2927161644623926,0.06445509029384447,6,0.02631368042415594
Ti20Nb,Omega_center__Twin_target,4.25,6.665679325375435,0.07777457056870006,6,0.03175133547623288,0.8244199276555927,0.003314555372115841,6,0.0013531615643141055,1.1020752464961,0.03967824452806504,6,0.01619857549718968
Ti20Nb,Omega_center__Twin_target,4.75,9.098196213001813,0.09839515926342746,6,0.0401696555592138,0.8508861769100431,0.003238485457928268,6,0.0013221061518912962,2.1605966787533117,0.02496565081980562,6,0.010192184267503386
Ti20Nb,Omega_center__Twin_target,5.25,13.898372893014438,0.16776359514633427,6,0.0684892009205626,0.8841652190336546,0.0032652018939311883,6,0.0013330130912167755,3.49249249584723,0.12071274002772618,6,0.049280769753527943
Ti20Nb,Omega_center__Twin_target,5.75,17.350364351628738,0.20140456561176517,6,0.08222306960262007,0.9058909797431843,0.0031336582395174437,6,0.0012793106191809952,2.0933109489838713,0.037957640101925545,6,0.015496141681653676
Ti20Nb,Omega_center__Twin_target,6.25,19.297766911147324,0.21149980353340916,6,0.0863444332259572,0.9145924775091615,0.0030851966923236313,6,0.0012595262753858874,0.9998379056236716,0.026071500211309814,6,0.010643645391095476
Ti20Nb,Omega_center__Twin_target,6.75,22.17328511585131,0.23601518081885972,6,0.09635279409281901,0.9208652725883247,0.0030634078213487136,6,0.0012506310060592396,1.2658456018430335,0.03479935792267491,6,0.014206778381172121
Ti20Nb,Omega_center__Twin_target,7.25,28.460527886625133,0.3455550138819368,6,0.14107224367851717,0.9355901165282324,0.002927135106360839,6,0.0011949979031285704,2.3984391731091015,0.03648463391152658,6,0.014894789422580611
Ti20Nb,Omega_center__Twin_target,7.75,34.02410467594746,0.4008067471974604,6,0.16362866934974493,0.9453252846682875,0.0025549770264103474,6,0.0010430650032064686,1.8580230393289854,0.04745385864440345,6,0.019372956667491517
Ti20Nb,Omega_center__Twin_target,8.25,38.849118861371096,0.490380606104937,6,0.20019704411897354,0.9511588366087554,0.0025281501600579893,6,0.0010321129808796158,1.4212878859231812,0.004672929481944295,6,0.0019077154724619438
Ti20Nb,Omega_center__Twin_target,8.75,43.443233121554414,0.5478822653763702,6,0.22367199821537168,0.9562051041520813,0.002521181459695897,6,0.0010292680208700369,1.20357331770753,0.026064312749818127,6,0.010640711122228719
Ti20Nb,Omega_center__Twin_target,9.25,48.94758588064584,0.607667844197226,6,0.2480793585633786,0.9609597362301575,0.0022453585789927307,6,0.0009166638013521512,1.2903675546075866,0.027201775307086187,6,0.011105078266700059
Ti20Nb,Omega_center__Twin_target,9.75,58.12432288756562,0.8143509138504056,6,0.3324573684171127,0.9675360373697243,0.00218653407240475,6,0.0008926487971002278,1.9358312898284347,0.024827269612923277,6,0.010135690376361342
Ti20Nb,Twin_center__Omega_target,0.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Twin_center__Omega_target,0.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Twin_center__Omega_target,1.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Twin_center__Omega_target,1.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti20Nb,Twin_center__Omega_target,2.25,0.007971846328816817,0.0005145987320038887,6,0.0002100840526154592,0.0,0.0,6,0.0,0.042215997535732706,0.002358255790900513,6,0.0009627538951116398
Ti20Nb,Twin_center__Omega_target,2.75,2.326336344093549,0.15462855719180468,6,0.06312684413044793,0.4125760740589009,0.023539105583935023,6,0.009609799613689846,8.220000286375708,0.23856164954481138,6,0.09739238559690845
Ti20Nb,Twin_center__Omega_target,3.25,3.556634454688106,0.23205198010271907,6,0.09473482417568943,0.8741067309250355,0.02096261939842713,6,0.00855795353305249,3.126064824685478,0.08377643633726807,6,0.034201586915844344
Ti20Nb,Twin_center__Omega_target,3.75,4.2342322912008425,0.2906629764515657,6,0.11866266323748978,0.8942035427990156,0.019228386988456452,6,0.007849956116414935,1.2927161644623926,0.06445509029384451,6,0.026313680424155952
Ti20Nb,Twin_center__Omega_target,4.25,4.975490071653462,0.3428551254014368,6,0.13997001882190996,0.9104369324904426,0.017453802543767855,6,0.007125485050587051,1.1020752464961,0.039678244528064885,6,0.01619857549718962
Ti20Nb,Twin_center__Omega_target,4.75,6.789274695529888,0.4346265097007444,6,0.1774355295756045,0.9427258061801699,0.01333369367861584,6,0.005443457649863734,2.160596678753312,0.0249656508198058,6,0.010192184267503459
Ti20Nb,Twin_center__Omega_target,5.25,10.372908697422696,0.6936142135915931,6,0.2831668169402047,0.9756943373104764,0.006757340595024432,6,0.0027586727460007874,3.49249249584723,0.1207127400277263,6,0.049280769753528
Ti20Nb,Twin_center__Omega_target,5.75,12.94772994458935,0.8388715294426119,6,0.3424678678137525,0.9888666173236951,0.0034801656448612147,6,0.0014207716750456584,2.0933109489838713,0.03795764010192523,6,0.01549614168165355
Ti20Nb,Twin_center__Omega_target,6.25,14.400760481305303,0.9279766758749147,6,0.37884489151627226,0.9926692718356339,0.002325519309463623,6,0.0009493892825292274,0.9998379056236718,0.02607150021130987,6,0.010643645391095498
Ti20Nb,Twin_center__Omega_target,6.75,16.54654426342383,1.0647557995395909,6,0.4346847349235216,0.9948337770420586,0.00151668364909974,6,0.0006191835069194624,1.2658456018430337,0.034799357922674766,6,0.014206778381172062
Ti20Nb,Twin_center__Omega_target,7.25,21.235410552538866,1.3197427743988945,6,0.5387827315003844,0.9978754175870175,0.0005965826499403179,6,0.00024355384695853605,2.3984391731091015,0.036484633911526294,6,0.014894789422580495
Ti20Nb,Twin_center__Omega_target,7.75,25.386868520284196,1.581029944358937,6,0.6454527719567126,0.9991220999816258,0.00028697509823610417,6,0.0001171570932605887,1.8580230393289854,0.04745385864440348,6,0.019372956667491528
Ti20Nb,Twin_center__Omega_target,8.25,28.982964156726553,1.735676043247788,6,0.7085867774549915,0.9996040027970899,0.0001367745108023816,6,5.583796021410346e-05,1.4212878859231812,0.004672929481944305,6,0.0019077154724619478
Ti20Nb,Twin_center__Omega_target,8.75,32.41023677193026,1.9385275068362267,6,0.7914005406830641,0.9997736860929457,9.969484689207211e-05,6,4.070025081174501e-05,1.20357331770753,0.026064312749818203,6,0.01064071112222875
Ti20Nb,Twin_center__Omega_target,9.25,36.51592868034925,2.168543211617476,6,0.8853040589398499,0.9998932436220004,6.132359652463214e-05,6,2.5035253446276763e-05,1.2903675546075866,0.027201775307086038,6,0.011105078266699998
Ti20Nb,Twin_center__Omega_target,9.75,43.358608745151486,2.5243334335743146,6,1.0305548088174876,0.9999700359296018,2.8209256144998712e-05,6,1.1516380596452948e-05,1.9358312898284347,0.024827269612923357,6,0.010135690376361375
Ti30Nb,Omega_center__Twin_target,0.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Omega_center__Twin_target,0.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Omega_center__Twin_target,1.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Omega_center__Twin_target,1.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Omega_center__Twin_target,2.25,0.007667997131257517,0.001021211056954935,6,0.00041690766820464694,0.0,0.0,6,0.0,0.04180032936877732,0.005816367495911073,6,0.0023745220869152753
Ti30Nb,Omega_center__Twin_target,2.75,2.9158886252674185,0.020087591010727924,6,0.008200724689666938,0.4437078448249155,0.007346780450545416,6,0.0029993105593484957,10.620673054931146,0.125454293528039,6,0.0512165008641736
Ti30Nb,Omega_center__Twin_target,3.25,4.592351834333776,0.024148513934726824,6,0.009858589531095,0.8420819899711081,0.006114396471816975,6,0.0024961919068375556,4.386732542486434,0.0316581962888947,6,0.012924404514110675
Ti30Nb,Omega_center__Twin_target,3.75,5.178463928501924,0.03558535763984826,6,0.014527661422013222,0.8488655867573943,0.005815707091870949,6,0.0023742524780948795,1.1527110532073308,0.04277341895522402,6,0.0174621751657648
Ti30Nb,Omega_center__Twin_target,4.25,5.9993108308525045,0.042901629647038954,6,0.017514516961517436,0.8604399848378179,0.005268672080970165,6,0.0021509263700707536,1.2571625426454442,0.023541132611243562,6,0.009610627144123281
Ti30Nb,Omega_center__Twin_target,4.75,8.19399424314721,0.05177956955295202,6,0.021138920750947355,0.8823264377176061,0.004958767573046465,6,0.0020244083845038586,2.6911465491403788,0.015989526211832934,6,0.006527696741307923
Ti30Nb,Omega_center__Twin_target,5.25,12.288325628206378,0.0634150834447172,6,0.025889099405929022,0.9096942050667963,0.003923058536079275,6,0.0016015819407440293,4.110788999277317,0.0487914925282694,6,0.01991904341384633
Ti30Nb,Omega_center__Twin_target,5.75,15.125259484384562,0.09347106970892369,6,0.03815940441649667,0.925851438062384,0.003601680402327526,6,0.0014703798670474108,2.3745906650229838,0.020126665823126114,6,0.008216676915028696
Ti30Nb,Omega_center__Twin_target,6.25,16.585730335916,0.1029955882212769,6,0.04204777281665628,0.9323448691631105,0.0038951472506900025,6,0.0015901872061992097,1.0349081371330593,0.017262750777595638,6,0.007047488493657141
Ti30Nb,Omega_center__Twin_target,6.75,18.670063081515355,0.12598839579163076,6,0.05143454720021782,0.9370126833422879,0.004099425862776425,6,0.0016735836003618225,1.2664253663887337,0.03010666792032146,6,0.012290995710034464
Ti30Nb,Omega_center__Twin_target,7.25,23.91383360342766,0.13782091473503386,6,0.0562651528307434,0.9466469190998832,0.003902094293716369,6,0.0015930233246385028,2.761461699815525,0.013233474059667153,6,0.005402543161756993
Ti30Nb,Omega_center__Twin_target,7.75,28.328129429721383,0.15292318111818576,6,0.06243062726379504,0.9533367914335757,0.0037759258169050604,6,0.0015415152596698564,2.034622425823367,0.016811155190425805,6,0.006863125367214033
Ti30Nb,Omega_center__Twin_target,8.25,32.30295512228436,0.1836594801183551,6,0.07497866878580031,0.9575911266344658,0.0034426670562272303,6,0.0014054629403410267,1.616664802609317,0.007808142058701355,6,0.0031876606471638166
Ti30Nb,Omega_center__Twin_target,8.75,35.47610211102968,0.18787831006194045,6,0.07670099889802678,0.9609062801829823,0.003249552418462751,6,0.00132662421961013,1.1475063111216,0.017392384603106933,6,0.0071004112813084184
Ti30Nb,Omega_center__Twin_target,9.25,39.63619709839636,0.19748193090568283,6,0.08062166068974774,0.9635208840079836,0.0032553232317213414,6,0.0013289801442575356,1.3461659454100223,0.014512675227012951,6,0.005924774851485293
Ti30Nb,Omega_center__Twin_target,9.75,46.89733561264894,0.2465754299727337,6,0.10066399775676052,0.9677210894294527,0.0032279850176262083,6,0.0013178193650888624,2.114685021739725,0.015042931449166257,6,0.006141251047687206
Ti30Nb,Twin_center__Omega_target,0.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Twin_center__Omega_target,0.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Twin_center__Omega_target,1.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Twin_center__Omega_target,1.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti30Nb,Twin_center__Omega_target,2.25,0.0034698260384352334,0.0005139430405606038,6,0.00020981636770466634,0.0,0.0,6,0.0,0.04180032936877732,0.005816367495911073,6,0.0023745220869152753
Ti30Nb,Twin_center__Omega_target,2.75,1.3174889328883994,0.027905661126421382,6,0.011392438449125408,0.2392637954756319,0.007933576541178723,6,0.003238869060200421,10.620673054931146,0.12545429352803888,6,0.05121650086417355
Ti30Nb,Twin_center__Omega_target,3.25,2.0749558177131937,0.042293322357957054,6,0.017266176550673046,0.7814532820515439,0.008319671794063753,6,0.0033964917871469476,4.386732542486434,0.0316581962888947,6,0.012924404514110675
Ti30Nb,Twin_center__Omega_target,3.75,2.3398913501892076,0.05500155870694673,6,0.022454292314958803,0.809272247742652,0.00867691669006304,6,0.003542336405215597,1.1527110532073308,0.04277341895522397,6,0.01746217516576478
Ti30Nb,Twin_center__Omega_target,4.25,2.710823520830157,0.0655575880028423,6,0.026763773229094626,0.8293030130194667,0.008524434689569723,6,0.003480085889187691,1.2571625426454442,0.023541132611243618,6,0.009610627144123304
Ti30Nb,Twin_center__Omega_target,4.75,3.7023010717094063,0.07767969248522749,6,0.03171260166085271,0.8825162176153344,0.0065320162895314655,6,0.0026666844834833266,2.6911465491403788,0.015989526211833065,6,0.006527696741307977
Ti30Nb,Twin_center__Omega_target,5.25,5.552356804840805,0.12102251662523822,6,0.049407235519887946,0.943936620119597,0.004952544010255578,6,0.0020218676256338847,4.110788999277317,0.0487914925282694,6,0.01991904341384633
Ti30Nb,Twin_center__Omega_target,5.75,6.834036091489227,0.14164305712311506,6,0.05782553592658703,0.9728363535270788,0.003525397141674338,6,0.0014392373562947377,2.3745906650229838,0.02012666582312593,6,0.00821667691502862
Ti30Nb,Twin_center__Omega_target,6.25,7.493986754331396,0.15924940200170531,6,0.06501329612458868,0.9813464510236628,0.003079148745549372,6,0.0012570572114544796,1.0349081371330593,0.017262750777595533,6,0.007047488493657099
Ti30Nb,Twin_center__Omega_target,6.75,8.4359289386421,0.1900443296063356,6,0.07758527267413742,0.985460639249276,0.002448713123190517,6,0.0009996829463789555,1.2664253663887337,0.03010666792032146,6,0.012290995710034464
Ti30Nb,Twin_center__Omega_target,7.25,10.804846560950542,0.21511318694673992,6,0.08781959082723996,0.9933240388705714,0.001364792239998796,6,0.0005571740988178548,2.761461699815525,0.013233474059667332,6,0.005402543161757066
Ti30Nb,Twin_center__Omega_target,7.75,12.79936844370508,0.2557296165390696,6,0.10440117877305441,0.9968855338702047,0.0009278200476039222,6,0.00037878094829240126,2.034622425823367,0.016811155190425753,6,0.006863125367214012
Ti30Nb,Twin_center__Omega_target,8.25,14.594974518673297,0.27271928029326437,6,0.11133717995626027,0.998497505253055,0.0004807894220100042,6,0.00019628145960869304,1.616664802609317,0.00780814205870133,6,0.003187660647163806
Ti30Nb,Twin_center__Omega_target,8.75,16.028873122271403,0.3117836968984196,6,0.12728516125328304,0.9990573220915685,0.0004190314549517058,6,0.00017106887513461915,1.1475063111216002,0.017392384603106936,6,0.00710041128130842
Ti30Nb,Twin_center__Omega_target,9.25,17.908481619780243,0.34609254528317857,6,0.14129168995414476,0.9994415622711866,0.00023427757889668639,6,9.564342107858501e-05,1.3461659454100223,0.014512675227012987,6,0.0059247748514853074
Ti30Nb,Twin_center__Omega_target,9.75,21.18869822475224,0.3771569335812648,6,0.1539736733711441,0.9997962350682718,0.00010974415786198408,6,4.480286483555131e-05,2.114685021739725,0.015042931449166257,6,0.006141251047687206
Ti40Nb,Omega_center__Twin_target,0.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Omega_center__Twin_target,0.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Omega_center__Twin_target,1.25,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Omega_center__Twin_target,1.75,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0
Ti40Nb,Omega_center__Twin_target,2.25,0.006155243965217216,0.0009875634915113224,6,0.00040317110713402113,1.5132255916712062e-05,3.7066305653156255e-05,6,1.5132255916712064e-05,0.031595876528129015,0.005627696385438298,6,0.0022974974286048464
Ti40Nb,Omega_center__Twin_target,2.75,2.947514980904078,0.025210471905680737,6,0.010292132057281408,0.4312659862411272,0.0029462066015942512,6,0.0012027838084542007,10.097386964504267,0.16235429967049667,6,0.06628086528993798
Ti40Nb,Omega_center__Twin_target,3.25,5.405550952598165,0.06512503589921526,6,0.02658718457225234,0.9567352443932867,0.0062574991817883376,6,0.0025546133435441105,6.045172078139295,0.05540222225437017,6,0.022617862523245612
Ti40Nb,Omega_center__Twin_target,3.75,5.6056190813418745,0.05414605332296889,6,0.02210503370446722,0.9606871895756138,0.0056922832922317096,6,0.0023238649228896056,0.37021562288231297,0.03268710676718818,6,0.013344455457914345
Ti40Nb,Omega_center__Twin_target,4.25,6.1572694537649015,0.04667166341424434,6,0.019053626801970074,0.9638534989159391,0.005029476136702316,6,0.0020532750347375148,0.7944760077127421,0.0330766678528436,6,0.013503493105164415
Ti40Nb,Omega_center__Twin_target,4.75,8.944077094626708,0.10037528365356396,6,0.04097803795639283,0.9727205386314011,0.0043480223006886485,6,0.0017750726711548935,3.2116988985636326,0.014016876620172997,6,0.005722365917828516
Ti40Nb,Omega_center__Twin_target,5.25,13.67991887193669,0.17370459796582188,6,0.07091460516525941,0.9828149035123249,0.003248210749273024,6,0.0013260764854570557,4.468978047455255,0.0392994506701945,6,0.016043933552275822
Ti40Nb,Omega_center__Twin_target,5.75,16.861266705458174,0.1972176809599323,6,0.08051378110113992,0.9882300233407019,0.0022492858121750964,6,0.0009182670875851049,2.5033066300401994,0.03870984059045159,6,0.01580322624518052
Ti40Nb,Omega_center__Twin_target,6.25,17.937621438443582,0.19829192114748503,6,0.0809523378212559,0.9902100215821248,0.0020316517797574767,6,0.0008294183659038547,0.7170862685668925,0.025368785563656886,6,0.010356763337507253
Ti40Nb,Omega_center__Twin_target,6.75,19.376737243058855,0.2048988036024801,6,0.08364958628880333,0.9917128362570568,0.002029703459234479,6,0.0008286229673810651,0.8220329848684084,0.029353571044344814,6,0.011983545197863321
Ti40Nb,Omega_center__Twin_target,7.25,26.143481040698433,0.354320043087579,6,0.1446505518675864,0.9938924130399807,0.0016712768205390124,6,0.0006822959048769323,3.349029434330486,0.022412019786174846,6,0.009149668763548155
