frame,strain,mode,r_mid_A,CN_sum_r,P_sum_r,g_r_RDF_like,composition
35,,Omega_center__Twin_target,0.25,0.0,0.0,0.0,Ti20Nb
35,,Omega_center__Twin_target,0.75,0.0,0.0,0.0,Ti20Nb
35,,Omega_center__Twin_target,1.25,0.0,0.0,0.0,Ti20Nb
35,,Omega_center__Twin_target,1.75,0.0,0.0,0.0,Ti20Nb
35,,Omega_center__Twin_target,2.25,0.0113862932090609,0.0,0.0434360234928291,Ti20Nb
35,,Omega_center__Twin_target,2.75,3.0712724302769705,0.4842297436882942,7.824586660720344,Ti20Nb
35,,Omega_center__Twin_target,3.25,4.715751038939201,0.8036464964327752,3.0131589267516867,Ti20Nb
35,,Omega_center__Twin_target,3.75,5.570203463931394,0.8111652934252565,1.1765183718327707,Ti20Nb
35,,Omega_center__Twin_target,4.25,6.545268923106488,0.8292296235797161,1.0456144335437512,Ti20Nb
35,,Omega_center__Twin_target,4.75,9.01496552883807,0.8562060102332508,2.1206639084076544,Ti20Nb
35,,Omega_center__Twin_target,5.25,13.688798674001298,0.8899084772634461,3.285812228375125,Ti20Nb
35,,Omega_center__Twin_target,5.75,17.155780825866582,0.911287804174974,2.032163423575672,Ti20Nb
35,,Omega_center__Twin_target,6.25,19.100843162218645,0.9196713829301688,0.965068661001098,Ti20Nb
35,,Omega_center__Twin_target,6.75,21.95046722236902,0.9255807249753776,1.2122655786141308,Ti20Nb
35,,Omega_center__Twin_target,7.25,28.2698839751135,0.9398736457757813,2.3304788672230328,Ti20Nb
35,,Omega_center__Twin_target,7.75,33.7867352086286,0.9495784188906772,1.7805473998097607,Ti20Nb
35,,Omega_center__Twin_target,8.25,38.756948281246245,0.9556078695140406,1.415632361081793,Ti20Nb
35,,Omega_center__Twin_target,8.75,43.34082010137164,0.9608446035215836,1.1606853013316332,Ti20Nb
35,,Omega_center__Twin_target,9.25,48.86891349780201,0.9649282951788416,1.2525713081673675,Ti20Nb
35,,Omega_center__Twin_target,9.75,58.12296716231473,0.9713180715366692,1.8873128655386475,Ti20Nb
35,,Twin_center__Omega_target,0.25,0.0,0.0,0.0,Ti20Nb
35,,Twin_center__Omega_target,0.75,0.0,0.0,0.0,Ti20Nb
35,,Twin_center__Omega_target,1.25,0.0,0.0,0.0,Ti20Nb
35,,Twin_center__Omega_target,1.75,0.0,0.0,0.0,Ti20Nb
35,,Twin_center__Omega_target,2.25,0.0075368494697174,0.0,0.0434360234928291,Ti20Nb
35,,Twin_center__Omega_target,2.75,2.032945890508976,0.3712295876993528,7.824586660720344,Ti20Nb
35,,Twin_center__Omega_target,3.25,3.121464120462387,0.8375920242960042,3.0131589267516867,Ti20Nb
35,,Twin_center__Omega_target,3.75,3.687045841217344,0.8609816984942201,1.1765183718327707,Ti20Nb
35,,Twin_center__Omega_target,4.25,4.332464104561861,0.8802531363788142,1.0456144335437512,Ti20Nb
35,,Twin_center__Omega_target,4.75,5.967213114754099,0.919622839515988,2.1206639084076544,Ti20Nb
35,,Twin_center__Omega_target,5.25,9.060930816810036,0.9640012084399994,3.285812228375125,Ti20Nb
35,,Twin_center__Omega_target,5.75,11.355806077181157,0.9829069342195228,2.032163423575672,Ti20Nb
35,,Twin_center__Omega_target,6.25,12.643287592819322,0.9886947257954238,0.965068661001098,Ti20Nb
35,,Twin_center__Omega_target,6.75,14.529519327089726,0.9922246426356712,1.2122655786141308,Ti20Nb
35,,Twin_center__Omega_target,7.25,18.71248668330922,0.9969948005278976,2.3304788672230328,Ti20Nb
35,,Twin_center__Omega_target,7.75,22.36421745559778,0.9987597589480212,1.7805473998097607,Ti20Nb
35,,Twin_center__Omega_target,8.25,25.654115851234675,0.9994911831581624,1.415632361081793,Ti20Nb
35,,Twin_center__Omega_target,8.75,28.68828608226932,0.9997455915790812,1.1606853013316332,Ti20Nb
35,,Twin_center__Omega_target,9.25,32.34745830086976,0.9999045968421556,1.2525713081673675,Ti20Nb
35,,Twin_center__Omega_target,9.75,38.47292935396162,0.9999840994736926,1.8873128655386475,Ti20Nb
36,,Omega_center__Twin_target,0.25,0.0,0.0,0.0,Ti20Nb
36,,Omega_center__Twin_target,0.75,0.0,0.0,0.0,Ti20Nb
36,,Omega_center__Twin_target,1.25,0.0,0.0,0.0,Ti20Nb
36,,Omega_center__Twin_target,1.75,0.0,0.0,0.0,Ti20Nb
