frame,strain,analysis_variant,mode,center_kind,target_kind,r_lower_A,r_upper_A,r_mid_A,N_total,N_center,N_target,rho_target_1_per_A3,pair_count_shell,pair_count_cumulative,CN_sum_r,P_sum_r,g_r_RDF_like
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.0,0.5,0.25,432000,41629,62891,0.008207366863068374,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.5,1.0,0.75,432000,41629,62891,0.008207366863068374,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.0,1.5,1.25,432000,41629,62891,0.008207366863068374,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.5,2.0,1.75,432000,41629,62891,0.008207366863068374,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.0,2.5,2.25,432000,41629,62891,0.008207366863068374,474,474,0.011386293209060991,0.0,0.043436023492829164
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.5,3.0,2.75,432000,41629,62891,0.008207366863068374,127380,127854,3.0712724302769705,0.48422974368829425,7.824586660720344
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.0,3.5,3.25,432000,41629,62891,0.008207366863068374,68458,196312,4.715751038939201,0.8036464964327752,3.0131589267516867
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.5,4.0,3.75,432000,41629,62891,0.008207366863068374,35570,231882,5.570203463931394,0.8111652934252565,1.1765183718327707
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.0,4.5,4.25,432000,41629,62891,0.008207366863068374,40591,272473,6.545268923106488,0.8292296235797161,1.0456144335437512
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.5,5.0,4.75,432000,41629,62891,0.008207366863068374,102811,375284,9.01496552883807,0.8562060102332508,2.1206639084076544
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.0,5.5,5.25,432000,41629,62891,0.008207366863068374,194567,569851,13.688798674001298,0.8899084772634461,3.285812228375125
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.5,6.0,5.75,432000,41629,62891,0.008207366863068374,144327,714178,17.155780825866582,0.9112878041749741,2.032163423575672
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.0,6.5,6.25,432000,41629,62891,0.008207366863068374,80971,795149,19.100843162218645,0.9196713829301689,0.965068661001098
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.5,7.0,6.75,432000,41629,62891,0.008207366863068374,118627,913776,21.95046722236902,0.9255807249753777,1.2122655786141308
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.0,7.5,7.25,432000,41629,62891,0.008207366863068374,263071,1176847,28.2698839751135,0.9398736457757813,2.3304788672230328
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.5,8.0,7.75,432000,41629,62891,0.008207366863068374,229661,1406508,33.7867352086286,0.9495784188906772,1.7805473998097607
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.0,8.5,8.25,432000,41629,62891,0.008207366863068374,206905,1613413,38.756948281246245,0.9556078695140406,1.415632361081793
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.5,9.0,8.75,432000,41629,62891,0.008207366863068374,190822,1804235,43.34082010137164,0.9608446035215835,1.1606853013316332
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.0,9.5,9.25,432000,41629,62891,0.008207366863068374,230129,2034364,48.86891349780201,0.9649282951788417,1.2525713081673675
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.5,10.0,9.75,432000,41629,62891,0.008207366863068374,385237,2419601,58.12296716231473,0.9713180715366692,1.8873128655386475
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.0,0.5,0.25,432000,62891,41629,0.005432644975317189,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.5,1.0,0.75,432000,62891,41629,0.005432644975317189,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.0,1.5,1.25,432000,62891,41629,0.005432644975317189,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.5,2.0,1.75,432000,62891,41629,0.005432644975317189,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.0,2.5,2.25,432000,62891,41629,0.005432644975317189,474,474,0.007536849469717448,0.0,0.043436023492829164
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.5,3.0,2.75,432000,62891,41629,0.005432644975317189,127380,127854,2.0329458905089757,0.3712295876993528,7.824586660720344
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.0,3.5,3.25,432000,62891,41629,0.005432644975317189,68458,196312,3.121464120462387,0.8375920242960042,3.0131589267516867
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.5,4.0,3.75,432000,62891,41629,0.005432644975317189,35570,231882,3.687045841217344,0.8609816984942201,1.1765183718327707
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,4.0,4.5,4.25,432000,62891,41629,0.005432644975317189,40591,272473,4.332464104561861,0.8802531363788142,1.0456144335437512
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,4.5,5.0,4.75,432000,62891,41629,0.005432644975317189,102811,375284,5.967213114754099,0.919622839515988,2.1206639084076544
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,5.0,5.5,5.25,432000,62891,41629,0.005432644975317189,194567,569851,9.060930816810036,0.9640012084399994,3.285812228375125
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,5.5,6.0,5.75,432000,62891,41629,0.005432644975317189,144327,714178,11.355806077181155,0.9829069342195227,2.032163423575672
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,6.0,6.5,6.25,432000,62891,41629,0.005432644975317189,80971,795149,12.643287592819322,0.9886947257954238,0.965068661001098
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,6.5,7.0,6.75,432000,62891,41629,0.005432644975317189,118627,913776,14.529519327089726,0.9922246426356712,1.2122655786141308
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,7.0,7.5,7.25,432000,62891,41629,0.005432644975317189,263071,1176847,18.71248668330922,0.9969948005278975,2.3304788672230328
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,7.5,8.0,7.75,432000,62891,41629,0.005432644975317189,229661,1406508,22.36421745559778,0.9987597589480212,1.7805473998097607
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,8.0,8.5,8.25,432000,62891,41629,0.005432644975317189,206905,1613413,25.654115851234675,0.9994911831581625,1.415632361081793
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,8.5,9.0,8.75,432000,62891,41629,0.005432644975317189,190822,1804235,28.68828608226932,0.9997455915790813,1.1606853013316332
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,9.0,9.5,9.25,432000,62891,41629,0.005432644975317189,230129,2034364,32.34745830086976,0.9999045968421555,1.2525713081673675
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,9.5,10.0,9.75,432000,62891,41629,0.005432644975317189,385237,2419601,38.47292935396162,0.9999840994736926,1.8873128655386475
36,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.0,0.5,0.25,432000,45193,62628,0.008177017401267252,0,0,0.0,0.0,0.0
