radius_A,strain_mean,strain_std,strain_count,radius_A_mean,radius_A_std,radius_A_count,n_atoms_mean,n_atoms_std,n_atoms_count,n_omega_mean,n_omega_std,n_omega_count,E_omega_cumulative_center_mean_mean,E_omega_cumulative_center_mean_std,E_omega_cumulative_center_mean_count,E_omega_cumulative_center_std_mean,E_omega_cumulative_center_std_std,E_omega_cumulative_center_std_count,E_omega_cumulative_pooled_mean_mean,E_omega_cumulative_pooled_mean_std,E_omega_cumulative_pooled_mean_count,E_omega_shell_center_mean_mean,E_omega_shell_center_mean_std,E_omega_shell_center_mean_count,E_omega_shell_center_std_mean,E_omega_shell_center_std_std,E_omega_shell_center_std_count,E_omega_shell_pooled_mean_mean,E_omega_shell_pooled_mean_std,E_omega_shell_pooled_mean_count,omega_mean_cumulative_neighbor_count_mean,omega_mean_cumulative_neighbor_count_std,omega_mean_cumulative_neighbor_count_count,omega_mean_shell_neighbor_count_mean,omega_mean_shell_neighbor_count_std,omega_mean_shell_neighbor_count_count,E_random_cumulative_center_mean_mean,E_random_cumulative_center_mean_std,E_random_cumulative_center_mean_count,E_random_cumulative_pooled_mean_mean,E_random_cumulative_pooled_mean_std,E_random_cumulative_pooled_mean_count,E_random_shell_center_mean_mean,E_random_shell_center_mean_std,E_random_shell_center_mean_count,E_random_shell_pooled_mean_mean,E_random_shell_pooled_mean_std,E_random_shell_pooled_mean_count,random_mean_cumulative_neighbor_count_mean,random_mean_cumulative_neighbor_count_std,random_mean_cumulative_neighbor_count_count,random_mean_shell_neighbor_count_mean,random_mean_shell_neighbor_count_std,random_mean_shell_neighbor_count_count,DeltaE_cumulative_vs_random_mean,DeltaE_cumulative_vs_random_std,DeltaE_cumulative_vs_random_count,DeltaE_shell_vs_random_mean,DeltaE_shell_vs_random_std,DeltaE_shell_vs_random_count
2.0,,,0,2.0,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.045892936769397034,0.002795002656398037,6,0.11698672155034255,0.004457990539630003,6,0.045892936769397034,0.002795002656398037,6,0.045892936769397034,0.002795002656398037,6,0.11698672155034255,0.004457990539630003,6,0.045892936769397034,0.002795002656398037,6,1.0,0.0,6,1.0,0.0,6,0.009281746029511066,0.00039230102103064024,6,0.009281746029511066,0.00039230102103064024,6,0.009281746029511066,0.00039230102103064024,6,0.009281746029511066,0.00039230102103064024,6,1.0,0.0,6,1.0,0.0,6,0.03661119073988597,0.002452326133943354,6,0.03661119073988597,0.002452326133943354,6
2.5,,,0,2.5,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.04557908009578998,0.002713980923095411,6,0.11450531018282677,0.0039206640835954855,6,0.051896559860307716,0.0039675075137314145,6,0.35323345564578346,0.01903782200715869,6,0.20123730593754785,0.00927735727356869,6,0.35230962186774134,0.019271527122574798,6,1.0198506313812066,0.003307798573977016,6,0.01985063138120668,0.003307798573976986,6,0.009292331943290525,0.00041120501489949233,6,0.010270239646781162,0.00046892688186941337,6,0.2387724351658176,0.012402279420658233,6,0.2433655844098133,0.012541991858469246,6,1.004224701679718,0.00026991332775376444,6,0.004224701679717782,0.0002699133277537441,6,0.03628674815249946,0.0023393102523362667,6,0.11446102047996588,0.01131582284072566,6
3.0,,,0,3.0,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.04048539164893289,0.0016240973994824902,6,0.041909993476160014,0.0011649191251365929,6,0.04019340093742506,0.0016344965592882633,6,0.03926332743800066,0.0013315079434471058,6,0.042414270119201326,0.0007093146761002391,6,0.03842846302374526,0.0013259676077446044,6,7.783589770530253,0.023345038285230303,6,6.763739139149048,0.021101927063294695,6,0.01040145160209014,0.0003397297572998331,6,0.00991864591054001,0.000340640585847399,6,0.01068269754769693,0.0003351846015020188,6,0.009869215448428828,0.00032913275751209444,6,8.148878181559896,0.003947471941936992,6,7.144653479880177,0.003916010053442203,6,0.030083940046842745,0.0013146144599316596,6,0.028580629890303726,0.0010515792007731318,6
3.5,,,0,3.5,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.03503904384029036,0.0011554458998677794,6,0.03177696410399653,0.0007656601089855108,6,0.034803724185705535,0.0011131859916547614,6,0.027245586648201998,0.0005770335483723694,6,0.042879339692322556,0.0008204073512676628,6,0.027788658544230904,0.0004617463945834603,6,13.76844989505961,0.021974362938402263,6,5.984860124529358,0.039985118159477764,6,0.00856076908768556,0.00031693419053091694,6,0.008119049579466457,0.00029883908027182604,6,0.006551664021730768,0.0003172954399320587,6,0.005706544995620108,0.0002688523273380322,6,14.227878372820838,0.0032961106501865718,6,6.079000191260941,0.0034768025122351755,6,0.026478274752604797,0.000870769417454012,6,0.02069392262647123,0.0005263058356396892,6
4.0,,,0,4.0,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.03623265047314441,0.0011127568806328703,6,0.03008371670606648,0.0006414072532962073,6,0.03627415849952605,0.0011074760785004859,6,0.04875597504611242,0.000706222512554505,6,0.08896892311560027,0.0022015502536774463,6,0.05297676681996197,0.0010788715373802622,6,14.980760346598077,0.003879855293188985,6,1.2123104515384662,0.021744640548011805,6,0.009093691686484098,0.00032398978646629097,6,0.009091516527387404,0.00032259817127691957,6,0.024017688441234964,0.0006160034375665226,6,0.027127621170169425,0.0008373041588199629,6,14.995007001619234,0.0002649456934791686,6,0.7671286287983955,0.0031187276582456736,6,0.02713895878666031,0.0008113130043257114,6,0.024738286604877452,0.0006389035987488593,6
4.5,,,0,4.5,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.03728822721695305,0.0011105916123561352,6,0.028428498381207947,0.0005790643386468639,6,0.03765026234447504,0.0011348702166324616,6,0.04506798351400685,0.001338887275939017,6,0.07281373429319175,0.0011930592884948242,6,0.0462035174142705,0.0013252467264131377,6,17.390559831867748,0.02797565191610234,6,2.4097994852696716,0.03061515429201425,6,0.009591653953510084,0.00035247196542015206,6,0.010235533629979154,0.00036888615904265775,6,0.01445187077776166,0.0006348280433274156,6,0.019009182416733536,0.0007249342815665467,6,16.950276723273127,0.008448829061406756,6,1.9552697216538937,0.008521298266607863,6,0.027696573263442974,0.0007782633232847674,6,0.030616112736245194,0.0008056977067441776,6
5.0,,,0,5.0,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.033293590892457495,0.0011539116754805956,6,0.02583409162535541,0.0006871744424028495,6,0.0334537636650899,0.0011624921634569823,6,0.025951392605185152,0.0012540799554476652,6,0.03947957597972753,0.000812691924213057,6,0.025559384503302588,0.001220057066883232,6,26.634598103806308,0.013561693391710788,6,9.244038271938555,0.028721810155953244,6,0.009781578044370628,0.0004350029528027282,6,0.009782115726236362,0.00043633314021678584,6,0.010064143492646643,0.0005958601855506155,6,0.009004369449307608,0.0005730474259395935,6,26.832790193188874,0.004868093655484738,6,9.88251346991575,0.008747733333656643,6,0.023512012848086867,0.0007453050666416521,6,0.01588724911253851,0.0007042549328706279,6
5.5,,,0,5.5,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.030385124014891702,0.0010486163849082887,6,0.02345288811479698,0.0006636362332547385,6,0.030447979114489442,0.0010365364494318817,6,0.025004136930757818,0.0008828084203840751,6,0.03095062471578762,0.0006388471014353991,6,0.0249230570530876,0.0008305709508166901,6,41.12491570001155,0.016188717956133795,6,14.490317596205246,0.007202870542085375,6,0.009787986860058488,0.0004222426528744583,6,0.009814430693777952,0.0004160606777956494,6,0.00986033673976512,0.00041270710069046503,6,0.00987366296924061,0.0003911292615640644,6,41.455834366180405,0.007870068069045423,6,14.623044172991527,0.008960808883407688,6,0.02059713715483322,0.0006528416126454481,6,0.0151438001909927,0.0005529093739430398,6
6.0,,,0,6.0,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.027933251027788392,0.0010244382608263442,6,0.022114470796739696,0.0006594798284499301,6,0.027596485920274683,0.0009939496945643043,6,0.021602644176267158,0.0009125511359200882,6,0.03023858039518913,0.000835186398368982,6,0.02027104020108445,0.0008588900699994916,6,57.134438098905605,0.06322037715363724,6,16.00952239889406,0.0734596987040354,6,0.00958049368617125,0.00041219539506342785,6,0.00923277048876883,0.00040216187291899967,6,0.008767434114592383,0.0003827734746483517,6,0.00776378779578464,0.0003740114533011334,6,57.87108542095458,0.007644964560124914,6,16.415251054774178,0.007225063135182849,6,0.018352757341617145,0.0006409575224692802,6,0.012835210061674774,0.0005662111448917527,6
6.5,,,0,6.5,0.0,6,432000.0,0.0,6,11085.666666666666,146.04200309043486,6,0.028415595832481825,0.0010055217023283087,6,0.021552399315514333,0.0006498794232059386,6,0.028544966524082796,0.0010129195414511208,6,0.037814630383032816,0.0010235179024871892,6,0.05522564572323243,0.0005577866286064965,6,0.04058067314536059,0.0011122810261209378,6,61.63679203387517,0.01880229133927829,6,4.5023539349695545,0.07980505097655397,6,0.009849192206088203,0.0004134169614135987,6,0.010040795806512934,0.0004156327191834691,6,0.013579148404398314,0.0004311775067891786,6,0.02299729492884625,0.0007033390979491271,6,61.48042751084069,0.014331488548665013,6,3.609342089886114,0.019571595361995545,6,0.018566403626393623,0.0006250115955566106,6,0.024235481978634496,0.000756450303563127,6
