atom_index,atom_id,path_str,path_length,stage_0,stage_1,stage_2,stage_3
0,1,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
1,2,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
2,3,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
3,4,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
4,5,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
5,6,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
6,7,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
7,8,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
8,9,FCC,1,FCC,,,
9,10,FCC,1,FCC,,,
10,11,FCC,1,FCC,,,
11,12,BCC -> OMEGA -> BCC -> FCC -> BCC,5,BCC,OMEGA,BCC,FCC
12,13,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
13,14,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
14,15,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
15,16,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
16,17,BCC -> FCC,2,BCC,FCC,,
17,18,BCC -> FCC,2,BCC,FCC,,
18,19,BCC,1,BCC,,,
19,20,BCC -> FCC,2,BCC,FCC,,
20,21,BCC,1,BCC,,,
21,22,BCC -> FCC -> BCC -> FCC,4,BCC,FCC,BCC,FCC
22,23,BCC -> FCC -> OMEGA,3,BCC,FCC,OMEGA,
23,24,BCC -> OMEGA -> BCC -> FCC -> OMEGA,5,BCC,OMEGA,BCC,FCC
24,25,FCC -> BCC -> FCC,3,FCC,BCC,FCC,
25,26,FCC,1,FCC,,,
26,27,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
27,28,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
28,29,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
29,30,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
30,31,BCC,1,BCC,,,
31,32,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
32,33,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
33,34,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
34,35,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
35,36,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
36,37,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
37,38,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
38,39,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
39,40,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
40,41,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
41,42,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
42,43,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
43,44,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
44,45,FCC -> BCC,2,FCC,BCC,,
45,46,FCC -> BCC,2,FCC,BCC,,
46,47,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
47,48,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
48,49,OMEGA -> FCC -> BCC -> FCC -> BCC,5,OMEGA,FCC,BCC,FCC
49,50,OMEGA -> FCC -> BCC -> FCC -> BCC,5,OMEGA,FCC,BCC,FCC
50,51,BCC,1,BCC,,,
51,52,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
52,53,BCC,1,BCC,,,
53,54,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
54,55,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
55,56,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
56,57,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
57,58,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
58,59,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
59,60,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
60,61,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
61,62,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
62,63,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
63,64,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
64,65,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
65,66,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
66,67,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
67,68,OMEGA -> FCC -> BCC,3,OMEGA,FCC,BCC,
68,69,BCC,1,BCC,,,
69,70,BCC -> FCC,2,BCC,FCC,,
70,71,BCC -> FCC,2,BCC,FCC,,
71,72,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
72,73,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
73,74,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
74,75,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
75,76,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
76,77,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
77,78,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
78,79,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
79,80,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
80,81,BCC,1,BCC,,,
81,82,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
82,83,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
83,84,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
84,85,OMEGA -> BCC -> FCC -> BCC,4,OMEGA,BCC,FCC,BCC
85,86,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
86,87,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
87,88,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
88,89,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
89,90,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
90,91,BCC -> OMEGA -> BCC -> FCC,4,BCC,OMEGA,BCC,FCC
91,92,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
92,93,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
93,94,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
94,95,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
95,96,BCC,1,BCC,,,
96,97,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
97,98,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
98,99,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
99,100,BCC -> FCC,2,BCC,FCC,,
100,101,FCC,1,FCC,,,
101,102,BCC -> FCC,2,BCC,FCC,,
102,103,FCC,1,FCC,,,
103,104,BCC -> FCC,2,BCC,FCC,,
104,105,BCC -> FCC,2,BCC,FCC,,
105,106,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
106,107,BCC,1,BCC,,,
107,108,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
108,109,BCC,1,BCC,,,
109,110,BCC -> FCC,2,BCC,FCC,,
110,111,BCC -> FCC,2,BCC,FCC,,
111,112,BCC,1,BCC,,,
112,113,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
113,114,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
114,115,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
115,116,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
116,117,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
117,118,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
118,119,BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,7,BCC,FCC,BCC,FCC
119,120,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
120,121,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
121,122,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
122,123,BCC,1,BCC,,,
123,124,BCC,1,BCC,,,
124,125,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
125,126,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
126,127,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
127,128,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
128,129,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
129,130,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
130,131,BCC -> FCC,2,BCC,FCC,,
131,132,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
132,133,BCC -> OMEGA -> FCC -> BCC -> FCC -> BCC,6,BCC,OMEGA,FCC,BCC
133,134,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
134,135,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
135,136,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
136,137,BCC,1,BCC,,,
137,138,BCC,1,BCC,,,
138,139,BCC -> FCC,2,BCC,FCC,,
139,140,BCC -> FCC,2,BCC,FCC,,
140,141,BCC -> FCC -> OMEGA,3,BCC,FCC,OMEGA,
141,142,BCC -> FCC -> OMEGA,3,BCC,FCC,OMEGA,
142,143,BCC -> FCC,2,BCC,FCC,,
143,144,BCC -> FCC,2,BCC,FCC,,
144,145,BCC -> FCC,2,BCC,FCC,,
145,146,BCC -> FCC,2,BCC,FCC,,
146,147,BCC -> FCC,2,BCC,FCC,,
147,148,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
148,149,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
149,150,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
150,151,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
151,152,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
152,153,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
153,154,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
154,155,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
155,156,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
156,157,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
157,158,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
158,159,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
159,160,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
160,161,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
161,162,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
162,163,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
163,164,BCC -> FCC,2,BCC,FCC,,
164,165,FCC,1,FCC,,,
165,166,FCC,1,FCC,,,
166,167,OMEGA -> FCC,2,OMEGA,FCC,,
167,168,OMEGA -> FCC,2,OMEGA,FCC,,
168,169,FCC -> BCC,2,FCC,BCC,,
169,170,FCC -> BCC,2,FCC,BCC,,
170,171,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
171,172,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
172,173,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
173,174,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
174,175,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
175,176,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
176,177,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
177,178,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
178,179,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
179,180,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
180,181,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
181,182,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
182,183,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
183,184,OMEGA -> FCC -> BCC,3,OMEGA,FCC,BCC,
184,185,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
185,186,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
186,187,OMEGA -> BCC -> FCC -> BCC,4,OMEGA,BCC,FCC,BCC
187,188,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
188,189,BCC,1,BCC,,,
189,190,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
190,191,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
191,192,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
192,193,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
193,194,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
194,195,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
195,196,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
196,197,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
197,198,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
198,199,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
199,200,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
200,201,BCC,1,BCC,,,
201,202,BCC -> FCC -> BCC -> FCC -> BCC,5,BCC,FCC,BCC,FCC
202,203,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
203,204,BCC -> FCC -> BCC,3,BCC,FCC,BCC,
