path_str,count,fraction
BCC -> FCC -> BCC,247583,0.5731087962962963
BCC,107803,0.2495439814814815
BCC -> FCC -> BCC -> FCC -> BCC,32437,0.07508564814814815
BCC -> FCC,29622,0.06856944444444445
BCC -> FCC -> BCC -> FCC,7225,0.016724537037037038
BCC -> FCC -> OMEGA,2099,0.004858796296296296
BCC -> FCC -> BCC -> OMEGA,1272,0.0029444444444444444
BCC -> OMEGA,843,0.0019513888888888888
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,831,0.0019236111111111112
BCC -> FCC -> BCC -> FCC -> BCC -> FCC,541,0.0012523148148148148
BCC -> FCC -> OMEGA -> BCC,453,0.001048611111111111
BCC -> FCC -> BCC -> FCC -> OMEGA,273,0.0006319444444444444
BCC -> OMEGA -> BCC,213,0.0004930555555555556
BCC -> FCC -> BCC -> OMEGA -> BCC,196,0.0004537037037037037
BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA,135,0.0003125
OMEGA -> BCC -> FCC -> BCC,125,0.00028935185185185184
BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC,71,0.00016435185185185186
OMEGA -> BCC -> FCC,63,0.00014583333333333335
BCC -> OMEGA -> BCC -> FCC -> BCC,23,5.3240740740740744e-05
BCC -> FCC -> OMEGA -> FCC,21,4.861111111111111e-05
FCC,20,4.6296296296296294e-05
BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA -> BCC,19,4.398148148148148e-05
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC,17,3.935185185185185e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,16,3.7037037037037037e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,15,3.472222222222222e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,8,1.8518518518518518e-05
OMEGA -> BCC -> FCC -> BCC -> FCC,8,1.8518518518518518e-05
BCC -> OMEGA -> BCC -> FCC,7,1.6203703703703704e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA,7,1.6203703703703704e-05
FCC -> BCC,6,1.388888888888889e-05
OMEGA -> FCC,5,1.1574074074074073e-05
OMEGA -> BCC,5,1.1574074074074073e-05
BCC -> OMEGA -> FCC,4,9.259259259259259e-06
OMEGA -> BCC -> FCC -> OMEGA,4,9.259259259259259e-06
FCC -> BCC -> FCC,3,6.944444444444445e-06
FCC -> BCC -> FCC -> BCC,3,6.944444444444445e-06
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC,3,6.944444444444445e-06
BCC -> FCC -> BCC -> FCC -> OMEGA -> FCC,3,6.944444444444445e-06
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC,3,6.944444444444445e-06
BCC -> FCC -> OMEGA -> FCC -> BCC,2,4.6296296296296296e-06
OMEGA -> FCC -> BCC -> FCC,2,4.6296296296296296e-06
BCC -> OMEGA -> BCC -> FCC -> OMEGA,2,4.6296296296296296e-06
FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> FCC,1,2.3148148148148148e-06
BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC -> OMEGA -> FCC -> OMEGA,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC,1,2.3148148148148148e-06
BCC -> FCC -> OMEGA -> BCC -> FCC,1,2.3148148148148148e-06
BCC -> FCC -> BCC -> FCC -> OMEGA -> FCC -> BCC,1,2.3148148148148148e-06
BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC -> FCC,1,2.3148148148148148e-06
BCC -> OMEGA -> FCC -> BCC,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> BCC -> FCC,1,2.3148148148148148e-06
