frame,strain,total_atoms,count_BCC,fraction_BCC,count_FCC_like,fraction_FCC_like,count_OMEGA,fraction_OMEGA,count_TB,fraction_TB,count_OMEGA_TB,fraction_OMEGA_TB,count_OTHER,fraction_OTHER,count_TWIN,fraction_TWIN,count_OMEGA_TWIN,fraction_OMEGA_TWIN
0,,432000,363640,0.8417592592592592,12,2.777777777777778e-05,15802,0.036578703703703704,2195,0.0050810185185185186,34597,0.08008564814814814,15754,0.03646759259259259,0,0.0,0,0.0
1,,432000,361314,0.836375,16,3.7037037037037037e-05,15642,0.036208333333333335,2395,0.005543981481481481,35907,0.08311805555555556,16726,0.038717592592592595,0,0.0,0,0.0
2,,432000,359597,0.832400462962963,19,4.398148148148148e-05,15952,0.036925925925925925,2331,0.005395833333333333,35119,0.08129398148148148,18982,0.043939814814814813,0,0.0,0,0.0
3,,432000,359553,0.8322986111111111,90,0.00020833333333333335,14975,0.03466435185185185,2331,0.005395833333333333,33307,0.07709953703703704,21744,0.050333333333333334,0,0.0,0,0.0
4,,432000,359031,0.8310902777777778,164,0.0003796296296296296,15019,0.0347662037037037,2386,0.0055231481481481486,29758,0.06888425925925926,25642,0.05935648148148148,0,0.0,0,0.0
5,,432000,355767,0.8235347222222222,392,0.0009074074074074074,14513,0.03359490740740741,2402,0.005560185185185185,26078,0.06036574074074074,32848,0.07603703703703704,0,0.0,0,0.0
6,,432000,352747,0.8165439814814814,626,0.001449074074074074,14155,0.03276620370370371,2177,0.005039351851851852,20935,0.04846064814814815,41360,0.09574074074074074,0,0.0,0,0.0
7,,432000,346508,0.8021018518518519,1121,0.0025949074074074073,13093,0.03030787037037037,1997,0.004622685185185185,17326,0.04010648148148148,51955,0.12026620370370371,0,0.0,0,0.0
8,,432000,337412,0.7810462962962963,1884,0.004361111111111111,12570,0.029097222222222222,1583,0.003664351851851852,12338,0.028560185185185185,66213,0.15327083333333333,0,0.0,0,0.0
9,,432000,326411,0.7555810185185186,2854,0.006606481481481481,11291,0.026136574074074072,1252,0.002898148148148148,7998,0.01851388888888889,82194,0.1902638888888889,0,0.0,0,0.0
10,,432000,310695,0.7192013888888888,4758,0.011013888888888889,9791,0.022664351851851852,978,0.002263888888888889,4990,0.011550925925925926,100788,0.23330555555555554,0,0.0,0,0.0
11,,432000,293751,0.6799791666666667,6951,0.016090277777777776,8676,0.020083333333333335,620,0.0014351851851851852,2713,0.006280092592592592,119289,0.27613194444444444,0,0.0,0,0.0
12,,432000,286165,0.6624189814814815,10719,0.0248125,7907,0.01830324074074074,553,0.0012800925925925927,2223,0.005145833333333333,124433,0.28803935185185187,0,0.0,0,0.0
13,,432000,285658,0.6612453703703703,16653,0.03854861111111111,7281,0.016854166666666667,649,0.0015023148148148148,1972,0.004564814814814815,119787,0.2772847222222222,0,0.0,0,0.0
14,,432000,285290,0.6603935185185185,25872,0.05988888888888889,6770,0.015671296296296298,532,0.0012314814814814814,1405,0.0032523148148148147,112131,0.2595625,0,0.0,0,0.0
15,,432000,290018,0.671337962962963,37592,0.08701851851851852,6022,0.013939814814814815,360,0.0008333333333333334,992,0.0022962962962962963,97016,0.22457407407407406,0,0.0,0,0.0
16,,432000,292084,0.6761203703703703,50879,0.11777546296296296,5380,0.012453703703703703,340,0.000787037037037037,793,0.001835648148148148,82524,0.19102777777777777,0,0.0,0,0.0
17,,432000,290846,0.6732546296296297,63945,0.14802083333333332,4731,0.010951388888888889,232,0.000537037037037037,483,0.0011180555555555555,71763,0.16611805555555556,0,0.0,0,0.0
18,,432000,291678,0.6751805555555556,78180,0.18097222222222223,3955,0.009155092592592593,220,0.0005092592592592592,460,0.0010648148148148149,57507,0.13311805555555556,0,0.0,0,0.0
19,,432000,289660,0.6705092592592593,92485,0.21408564814814815,3114,0.007208333333333333,136,0.0003148148148148148,276,0.0006388888888888889,46329,0.10724305555555555,0,0.0,0,0.0
20,,432000,286760,0.6637962962962963,107051,0.24780324074074075,2311,0.005349537037037037,77,0.00017824074074074075,116,0.0002685185185185185,35685,0.08260416666666667,0,0.0,0,0.0
21,,432000,277442,0.6422268518518518,125332,0.29012037037037036,1509,0.0034930555555555557,29,6.712962962962963e-05,36,8.333333333333333e-05,27652,0.06400925925925927,0,0.0,0,0.0
22,,432000,258604,0.5986203703703704,147383,0.34116435185185184,1084,0.0025092592592592593,14,3.240740740740741e-05,17,3.935185185185185e-05,24898,0.05763425925925926,0,0.0,0,0.0
23,,432000,236754,0.5480416666666666,172359,0.39897916666666666,756,0.00175,13,3.0092592592592593e-05,0,0.0,22118,0.05119907407407408,0,0.0,0,0.0
24,,432000,212688,0.49233333333333335,198138,0.4586527777777778,663,0.0015347222222222223,0,0.0,0,0.0,20511,0.04747916666666667,0,0.0,0,0.0
25,,432000,187708,0.43450925925925926,224732,0.5202129629629629,493,0.0011412037037037037,0,0.0,0,0.0,19067,0.04413657407407407,0,0.0,0,0.0
26,,432000,162030,0.37506944444444446,251264,0.5816296296296296,440,0.0010185185185185184,17,3.935185185185185e-05,9,2.0833333333333333e-05,18240,0.042222222222222223,0,0.0,0,0.0
27,,432000,137049,0.31724305555555554,276450,0.6399305555555556,442,0.0010231481481481482,7,1.6203703703703704e-05,1,2.3148148148148148e-06,18051,0.04178472222222222,0,0.0,0,0.0
28,,432000,115737,0.2679097222222222,298606,0.6912175925925926,420,0.0009722222222222222,0,0.0,0,0.0,17237,0.039900462962962964,0,0.0,0,0.0
29,,432000,94956,0.21980555555555556,320223,0.7412569444444445,383,0.000886574074074074,6,1.388888888888889e-05,0,0.0,16432,0.038037037037037036,0,0.0,0,0.0
30,,432000,79222,0.18338425925925925,336291,0.7784513888888889,352,0.0008148148148148148,0,0.0,0,0.0,16135,0.037349537037037035,0,0.0,0,0.0
31,,432000,65101,0.15069675925925927,351282,0.8131527777777777,357,0.0008263888888888889,1,2.3148148148148148e-06,0,0.0,15259,0.03532175925925926,0,0.0,0,0.0
32,,432000,54523,0.12621064814814814,361964,0.8378796296296296,338,0.0007824074074074074,0,0.0,0,0.0,15175,0.03512731481481481,0,0.0,0,0.0
33,,432000,47899,0.11087731481481482,368361,0.8526875,362,0.000837962962962963,140,0.00032407407407407406,101,0.0002337962962962963,15137,0.03503935185185185,0,0.0,0,0.0
34,,432000,202222,0.4681064814814815,128220,0.29680555555555554,5701,0.013196759259259259,17545,0.04061342592592593,8333,0.019289351851851853,69979,0.16198842592592594,0,0.0,0,0.0
35,,432000,225817,0.522724537037037,14384,0.033296296296296296,14395,0.03332175925925926,35657,0.08253935185185185,27234,0.06304166666666666,114513,0.2650763888888889,0,0.0,0,0.0
36,,432000,231759,0.5364791666666666,8103,0.018756944444444444,15095,0.03494212962962963,32530,0.07530092592592592,30098,0.0696712962962963,114415,0.26484953703703706,0,0.0,0,0.0
37,,432000,230177,0.5328171296296297,7317,0.0169375,15547,0.035988425925925924,30275,0.07008101851851851,31050,0.071875,117634,0.2723009259259259,0,0.0,0,0.0
38,,432000,231740,0.5364351851851852,6930,0.016041666666666666,15782,0.03653240740740741,29506,0.06830092592592593,30335,0.07021990740740741,117707,0.2724699074074074,0,0.0,0,0.0
39,,432000,232553,0.5383171296296296,6922,0.016023148148148147,15389,0.03562268518518519,28895,0.06688657407407407,30809,0.07131712962962963,117432,0.2718333333333333,0,0.0,0,0.0
40,,432000,230692,0.5340092592592592,7290,0.016875,15924,0.03686111111111111,28227,0.06534027777777777,30202,0.06991203703703704,119665,0.2770023148148148,0,0.0,0,0.0
