delta_frame_twin_minus_omega,count,fraction_given_both
-38.0,2,2.2082123416987777e-05
-37.0,2,2.2082123416987777e-05
-36.0,1,1.1041061708493888e-05
-35.0,2,2.2082123416987777e-05
-34.0,6,6.624637025096333e-05
-33.0,5,5.5205308542469444e-05
-32.0,6,6.624637025096333e-05
-31.0,4,4.4164246833975554e-05
-30.0,2,2.2082123416987777e-05
-29.0,2,2.2082123416987777e-05
-28.0,1,1.1041061708493888e-05
-27.0,1,1.1041061708493888e-05
-26.0,1,1.1041061708493888e-05
-25.0,2,2.2082123416987777e-05
-24.0,1,1.1041061708493888e-05
-22.0,1,1.1041061708493888e-05
-21.0,1,1.1041061708493888e-05
-20.0,1,1.1041061708493888e-05
-16.0,1,1.1041061708493888e-05
-13.0,1,1.1041061708493888e-05
-12.0,1,1.1041061708493888e-05
-11.0,2,2.2082123416987777e-05
-10.0,5,5.5205308542469444e-05
-9.0,324,0.00357730399355202
-8.0,970,0.010709829857239072
-7.0,1450,0.016009539477316138
-6.0,2166,0.023914939660597764
-5.0,2778,0.030672069426196023
-4.0,3699,0.04084088725971889
-3.0,5076,0.05604442923231498
-2.0,7119,0.078601318302768
-1.0,10697,0.11810623709575913
0.0,37343,0.4123063673802873
1.0,3181,0.03512161729471906
2.0,1562,0.017246138388667454
3.0,920,0.010157776771814378
4.0,644,0.007110443740270064
5.0,456,0.005034724139073213
6.0,404,0.004460588930231531
7.0,333,0.003676673548928465
8.0,236,0.0026056905632045576
9.0,150,0.0016561592562740833
10.0,179,0.001976350045820406
11.0,159,0.0017555288116505284
12.0,163,0.001799693058484504
13.0,150,0.0016561592562740833
14.0,125,0.001380132713561736
15.0,128,0.0014132558986872177
16.0,139,0.0015347075774806505
17.0,155,0.0017113645648165528
18.0,167,0.0018438573053184794
19.0,208,0.002296540835366729
20.0,215,0.002373828267326186
21.0,245,0.0027050601185810027
22.0,314,0.003466893376467081
23.0,346,0.0038202073511388857
24.0,331,0.003654591425511477
25.0,517,0.00570822890329134
26.0,549,0.0060615428779631445
27.0,613,0.006768170827306754
28.0,634,0.007000033123185125
29.0,701,0.007739784257654216
30.0,918,0.01013569464839739
31.0,983,0.010853363659449493
32.0,865,0.009550518377847214
33.0,621,0.0068564993209747046
34.0,436,0.0048139029049033355
35.0,381,0.004206644510936172
36.0,275,0.0030362919698358193
37.0,204,0.0022523765885327533
38.0,143,0.001578871824314626
39.0,104,0.0011482704176833645
40.0,44,0.0004858067151737311
