source_frame,target_frame,source,target,source_state,target_state,count
0,5,F0_BCC,F5_BCC,BCC,BCC,422529
0,5,F0_BCC,F5_FCC_like,BCC,FCC_like,145
0,5,F0_BCC,F5_OMEGA,BCC,OMEGA,2422
0,5,F0_BCC,F5_TB,BCC,TB,11
0,5,F0_BCC,F5_OMEGA_TB,BCC,OMEGA_TB,83
0,5,F0_BCC,F5_OTHER,BCC,OTHER,1566
0,5,F0_OMEGA,F5_BCC,OMEGA,BCC,3205
0,5,F0_OMEGA,F5_OMEGA,OMEGA,OMEGA,318
0,5,F0_OMEGA,F5_OMEGA_TB,OMEGA,OMEGA_TB,18
0,5,F0_OMEGA,F5_OTHER,OMEGA,OTHER,135
0,5,F0_TB,F5_BCC,TB,BCC,30
0,5,F0_OMEGA_TB,F5_BCC,OMEGA_TB,BCC,391
0,5,F0_OMEGA_TB,F5_OMEGA,OMEGA_TB,OMEGA,82
0,5,F0_OMEGA_TB,F5_OMEGA_TB,OMEGA_TB,OMEGA_TB,80
0,5,F0_OMEGA_TB,F5_OTHER,OMEGA_TB,OTHER,43
0,5,F0_OTHER,F5_BCC,OTHER,BCC,762
0,5,F0_OTHER,F5_OMEGA,OTHER,OMEGA,57
0,5,F0_OTHER,F5_OMEGA_TB,OTHER,OMEGA_TB,17
0,5,F0_OTHER,F5_OTHER,OTHER,OTHER,79
5,10,F5_BCC,F10_BCC,BCC,BCC,419057
5,10,F5_BCC,F10_FCC_like,BCC,FCC_like,3157
5,10,F5_BCC,F10_OMEGA,BCC,OMEGA,1348
5,10,F5_BCC,F10_OMEGA_TB,BCC,OMEGA_TB,36
5,10,F5_BCC,F10_OTHER,BCC,OTHER,3313
5,10,F5_FCC_like,F10_BCC,FCC_like,BCC,124
5,10,F5_FCC_like,F10_FCC_like,FCC_like,FCC_like,21
5,10,F5_OMEGA,F10_BCC,OMEGA,BCC,2396
5,10,F5_OMEGA,F10_FCC_like,OMEGA,FCC_like,54
5,10,F5_OMEGA,F10_OMEGA,OMEGA,OMEGA,210
5,10,F5_OMEGA,F10_OMEGA_TB,OMEGA,OMEGA_TB,25
5,10,F5_OMEGA,F10_OTHER,OMEGA,OTHER,198
5,10,F5_TB,F10_BCC,TB,BCC,12
5,10,F5_OMEGA_TB,F10_BCC,OMEGA_TB,BCC,147
5,10,F5_OMEGA_TB,F10_OMEGA,OMEGA_TB,OMEGA,17
5,10,F5_OMEGA_TB,F10_OTHER,OMEGA_TB,OTHER,26
5,10,F5_OTHER,F10_BCC,OTHER,BCC,1478
5,10,F5_OTHER,F10_FCC_like,OTHER,FCC_like,55
5,10,F5_OTHER,F10_OMEGA,OTHER,OMEGA,64
5,10,F5_OTHER,F10_OTHER,OTHER,OTHER,222
10,15,F10_BCC,F15_BCC,BCC,BCC,392728
10,15,F10_BCC,F15_FCC_like,BCC,FCC_like,22898
10,15,F10_BCC,F15_OMEGA,BCC,OMEGA,684
10,15,F10_BCC,F15_OTHER,BCC,OTHER,6897
10,15,F10_FCC_like,F15_BCC,FCC_like,BCC,2038
10,15,F10_FCC_like,F15_FCC_like,FCC_like,FCC_like,1059
10,15,F10_FCC_like,F15_OTHER,FCC_like,OTHER,187
10,15,F10_OMEGA,F15_BCC,OMEGA,BCC,1333
10,15,F10_OMEGA,F15_FCC_like,OMEGA,FCC_like,170
10,15,F10_OMEGA,F15_OMEGA,OMEGA,OMEGA,37
10,15,F10_OMEGA,F15_OTHER,OMEGA,OTHER,101
10,15,F10_OMEGA_TB,F15_BCC,OMEGA_TB,BCC,62
10,15,F10_OTHER,F15_BCC,OTHER,BCC,2744
10,15,F10_OTHER,F15_FCC_like,OTHER,FCC_like,650
10,15,F10_OTHER,F15_OMEGA,OTHER,OMEGA,21
10,15,F10_OTHER,F15_OTHER,OTHER,OTHER,351
15,20,F15_BCC,F20_BCC,BCC,BCC,311162
15,20,F15_BCC,F20_FCC_like,BCC,FCC_like,76568
15,20,F15_BCC,F20_OMEGA,BCC,OMEGA,428
15,20,F15_BCC,F20_OTHER,BCC,OTHER,10748
15,20,F15_FCC_like,F20_BCC,FCC_like,BCC,9106
15,20,F15_FCC_like,F20_FCC_like,FCC_like,FCC_like,14651
15,20,F15_FCC_like,F20_OMEGA,FCC_like,OMEGA,16
15,20,F15_FCC_like,F20_OTHER,FCC_like,OTHER,1006
15,20,F15_OMEGA,F20_BCC,OMEGA,BCC,507
15,20,F15_OMEGA,F20_FCC_like,OMEGA,FCC_like,196
15,20,F15_OMEGA,F20_OTHER,OMEGA,OTHER,45
15,20,F15_OTHER,F20_BCC,OTHER,BCC,3678
15,20,F15_OTHER,F20_FCC_like,OTHER,FCC_like,3256
15,20,F15_OTHER,F20_OMEGA,OTHER,OMEGA,10
15,20,F15_OTHER,F20_OTHER,OTHER,OTHER,602
20,25,F20_BCC,F25_BCC,BCC,BCC,180090
20,25,F20_BCC,F25_FCC_like,BCC,FCC_like,130656
20,25,F20_BCC,F25_OMEGA,BCC,OMEGA,349
20,25,F20_BCC,F25_OTHER,BCC,OTHER,13357
20,25,F20_FCC_like,F25_BCC,FCC_like,BCC,15934
20,25,F20_FCC_like,F25_FCC_like,FCC_like,FCC_like,75706
20,25,F20_FCC_like,F25_OMEGA,FCC_like,OMEGA,48
20,25,F20_FCC_like,F25_OTHER,FCC_like,OTHER,2985
20,25,F20_OMEGA,F25_BCC,OMEGA,BCC,195
20,25,F20_OMEGA,F25_FCC_like,OMEGA,FCC_like,234
20,25,F20_OMEGA,F25_OTHER,OMEGA,OTHER,28
20,25,F20_OTHER,F25_BCC,OTHER,BCC,3405
20,25,F20_OTHER,F25_FCC_like,OTHER,FCC_like,8134
20,25,F20_OTHER,F25_OMEGA,OTHER,OMEGA,11
20,25,F20_OTHER,F25_OTHER,OTHER,OTHER,852
25,30,F25_BCC,F30_BCC,BCC,BCC,82000
25,30,F25_BCC,F30_FCC_like,BCC,FCC_like,103728
25,30,F25_BCC,F30_OMEGA,BCC,OMEGA,350
25,30,F25_BCC,F30_TB,BCC,TB,152
25,30,F25_BCC,F30_OMEGA_TB,BCC,OMEGA_TB,24
25,30,F25_BCC,F30_OTHER,BCC,OTHER,13372
25,30,F25_FCC_like,F30_BCC,FCC_like,BCC,18730
25,30,F25_FCC_like,F30_FCC_like,FCC_like,FCC_like,188455
25,30,F25_FCC_like,F30_OMEGA,FCC_like,OMEGA,161
25,30,F25_FCC_like,F30_TB,FCC_like,TB,134
25,30,F25_FCC_like,F30_OMEGA_TB,FCC_like,OMEGA_TB,32
25,30,F25_FCC_like,F30_OTHER,FCC_like,OTHER,7222
25,30,F25_OMEGA,F30_BCC,OMEGA,BCC,98
25,30,F25_OMEGA,F30_FCC_like,OMEGA,FCC_like,259
25,30,F25_OMEGA,F30_OTHER,OMEGA,OTHER,48
25,30,F25_OTHER,F30_BCC,OTHER,BCC,3160
25,30,F25_OTHER,F30_FCC_like,OTHER,FCC_like,12530
25,30,F25_OTHER,F30_OMEGA,OTHER,OMEGA,30
25,30,F25_OTHER,F30_OTHER,OTHER,OTHER,1492
30,35,F30_BCC,F35_BCC,BCC,BCC,85121
30,35,F30_BCC,F35_FCC_like,BCC,FCC_like,1439
30,35,F30_BCC,F35_OMEGA,BCC,OMEGA,756
30,35,F30_BCC,F35_TB,BCC,TB,6848
30,35,F30_BCC,F35_OMEGA_TB,BCC,OMEGA_TB,2777
30,35,F30_BCC,F35_OTHER,BCC,OTHER,7049
30,35,F30_FCC_like,F35_BCC,FCC_like,BCC,224495
30,35,F30_FCC_like,F35_FCC_like,FCC_like,FCC_like,8866
30,35,F30_FCC_like,F35_OMEGA,FCC_like,OMEGA,4546
30,35,F30_FCC_like,F35_TB,FCC_like,TB,21733
30,35,F30_FCC_like,F35_OMEGA_TB,FCC_like,OMEGA_TB,10800
30,35,F30_FCC_like,F35_OTHER,FCC_like,OTHER,34533
30,35,F30_OMEGA,F35_BCC,OMEGA,BCC,433
30,35,F30_OMEGA,F35_TB,OMEGA,TB,28
30,35,F30_OMEGA,F35_OMEGA_TB,OMEGA,OMEGA_TB,16
30,35,F30_OMEGA,F35_OTHER,OMEGA,OTHER,58
30,35,F30_TB,F35_BCC,TB,BCC,250
30,35,F30_TB,F35_TB,TB,TB,18
30,35,F30_TB,F35_OTHER,TB,OTHER,17
30,35,F30_OMEGA_TB,F35_BCC,OMEGA_TB,BCC,40
30,35,F30_OTHER,F35_BCC,OTHER,BCC,17457
30,35,F30_OTHER,F35_FCC_like,OTHER,FCC_like,443
30,35,F30_OTHER,F35_OMEGA,OTHER,OMEGA,222
30,35,F30_OTHER,F35_TB,OTHER,TB,1498
30,35,F30_OTHER,F35_OMEGA_TB,OTHER,OMEGA_TB,618
30,35,F30_OTHER,F35_OTHER,OTHER,OTHER,1900
35,40,F35_BCC,F40_BCC,BCC,BCC,287919
35,40,F35_BCC,F40_FCC_like,BCC,FCC_like,3879
35,40,F35_BCC,F40_OMEGA,BCC,OMEGA,2459
35,40,F35_BCC,F40_TB,BCC,TB,10329
35,40,F35_BCC,F40_OMEGA_TB,BCC,OMEGA_TB,5143
35,40,F35_BCC,F40_OTHER,BCC,OTHER,18067
35,40,F35_FCC_like,F40_BCC,FCC_like,BCC,4706
35,40,F35_FCC_like,F40_FCC_like,FCC_like,FCC_like,1407
35,40,F35_FCC_like,F40_OMEGA,FCC_like,OMEGA,203
35,40,F35_FCC_like,F40_TB,FCC_like,TB,1720
35,40,F35_FCC_like,F40_OMEGA_TB,FCC_like,OMEGA_TB,535
35,40,F35_FCC_like,F40_OTHER,FCC_like,OTHER,2188
35,40,F35_OMEGA,F40_BCC,OMEGA,BCC,2642
35,40,F35_OMEGA,F40_FCC_like,OMEGA,FCC_like,113
35,40,F35_OMEGA,F40_OMEGA,OMEGA,OMEGA,422
35,40,F35_OMEGA,F40_TB,OMEGA,TB,586
35,40,F35_OMEGA,F40_OMEGA_TB,OMEGA,OMEGA_TB,477
35,40,F35_OMEGA,F40_OTHER,OMEGA,OTHER,1293
35,40,F35_TB,F40_BCC,TB,BCC,11527
35,40,F35_TB,F40_FCC_like,TB,FCC_like,1275
35,40,F35_TB,F40_OMEGA,TB,OMEGA,728
35,40,F35_TB,F40_TB,TB,TB,7210
35,40,F35_TB,F40_OMEGA_TB,TB,OMEGA_TB,3025
35,40,F35_TB,F40_OTHER,TB,OTHER,6366
35,40,F35_OMEGA_TB,F40_BCC,OMEGA_TB,BCC,5381
35,40,F35_OMEGA_TB,F40_FCC_like,OMEGA_TB,FCC_like,291
35,40,F35_OMEGA_TB,F40_OMEGA,OMEGA_TB,OMEGA,513
35,40,F35_OMEGA_TB,F40_TB,OMEGA_TB,TB,2824
35,40,F35_OMEGA_TB,F40_OMEGA_TB,OMEGA_TB,OMEGA_TB,2628
35,40,F35_OMEGA_TB,F40_OTHER,OMEGA_TB,OTHER,2580
35,40,F35_OTHER,F40_BCC,OTHER,BCC,19038
35,40,F35_OTHER,F40_FCC_like,OTHER,FCC_like,1490
35,40,F35_OTHER,F40_OMEGA,OTHER,OMEGA,1341
35,40,F35_OTHER,F40_TB,OTHER,TB,6075
35,40,F35_OTHER,F40_OMEGA_TB,OTHER,OMEGA_TB,2808
35,40,F35_OTHER,F40_OTHER,OTHER,OTHER,12812
